productName,productPrice,productRating,productOldPrice,productDiscount,productLink
سامسونج شاشة Amoled للساعة الذكية Fit 3، مقياس التسارع، مقياس الضغط الجوي، مستشعر جيروسكوبي، مستشعر بصري لمعدل ضربات القلب، مستشعر الضوء رمادي,"2,349",4.6,"3,552",خصم 33%,/egypt-ar/fit-3-smartwatch-amoled-display-accelerometer-barometer-gyro-sensor-optical-heart-rate-sensor-light-sensor-gray/N70040525V/p/?o=dbd65d851fd6cd5f
X-Inova MX10 - Luxury Smart Watch 7 Watch Bands Multicolors- Golden Case,965,4.2,"1,500",خصم 35%,/egypt-ar/mx10-luxury-smart-watch-7-watch-bands-multicolors-golden-case/Z25EA76334A22E0B8FC40Z/p/?o=z25ea76334a22e0b8fc40z-1
T800 Ultra ساعة ذكية عالية الدقة تعمل باللمس جهاز تعقب للياقة البدنية SpO2 مراقب معدل ضربات القلب مساعد صوتي توفير الطاقة ووضع الرياضة IP67 مقاوم للماء,358,3.4,650,خصم 44%,/egypt-ar/t800-ultra-smart-watch-hd-touch-screen-fitness-tracker-spo2-heart-rate-monitor-fitness-voice-assistant-power-saving-sports-ip67-waterproof/ZF2AC508B263E8A26C207Z/p/?o=zf2ac508b263e8a26c207z-1
T800 ULTRA (2023) Smart Watch 1.99 Inch IPS display NFC Bluetooth V5 Call Wireless Charger- Space Gray Aluminum Case,370,2.9,900,خصم 58%,/egypt-ar/t800-ultra-2023-smart-watch-1-99-inch-ips-display-nfc-bluetooth-v5-call-wireless-charger-space-gray-aluminum-case/Z20753CEB3A056CD48D6EZ/p/?o=z20753ceb3a056cd48d6ez-1
في & حول ساعة X8 ألترا ماكس الذكية - 49 مم - برتقالي,660,4.0,799,خصم 17%,/egypt-ar/x8-ultra-max-smartwatch-49mm-orange/ZD6CD1509EB7F706F51CFZ/p/?o=zd6cd1509eb7f706f51cfz-1
ساعة  T500 ULTRA بلوتوث ذكية للمكالمات باللمس الكامل مع حزام قابل للاستبدال,340,2.6,700,خصم 51%,/egypt-ar/bluetooth-full-touch-call-smartwatch-t500-ultra-with-replaceable-strap/Z938DEA6C7D7815A0F112Z/p/?o=z938dea6c7d7815a0f112z-1
ساعة ذكية S9 الترا 49 ملم -برتقالي,313,1.4,500,خصم 37%,/egypt-ar/s9-ultra-smartwatch-49mm-orange/Z6A9B32E51D16BA30B67DZ/p/?o=z6a9b32e51d16ba30b67dz-1
هونج كونج ساعة Hk10 ULTRA 3 الذكية - حزامان (سيليكون وقماش) - 49 مم - أسود,"1,099",3.4,"1,199",خصم 8%,/egypt-ar/hk10-ultra-3-smart-watch-2-straps-silicone-and-cloth-49mm-black/Z5FE776E1DF2D2ED2FEA5Z/p/?o=z5fe776e1df2d2ed2fea5z-1
ساعة رياضية ذكية T500 سيريس IP67  مضادة للماء مزودة بجهاز قياس ضغط الدم مع إمكانية عرض الرسائل بخمسة ألوان أسود 300 mAh,340,3.2,690,خصم 50%,/egypt-ar/300-mah-t500-series-5-color-screen-message-reminder-health-monitor-ip67-waterproof-sport-tracker-intelligent-watch-black/N40916305A/p/?o=e92f205aede5f66c
هيواتش برو t900 ultra  الترا  بتقنية مراقبة درجة حرارة الجسم والمكالمات بالبلوتوث مع شحن لاسلكي شاشة HD عالية الدقة تعمل باللمس 2.09بوصة IOS واندرويد للرجال والنساء,388,2.5,450,خصم 13%,/egypt-ar/t900-ultra-big-smart-watch-bluetooth-call-wireless-charging-sport-smartwatch-body-temperature-monitor-call-wireless-charging-touch-screen-2-09-inch-hd-screen-for-ios-android-for-men-and-women/ZAF74FF84F9D6B7060C67Z/p/?o=zaf74ff84f9d6b7060c67z-1
ساعة ذكية  لون أسود | تصميم أنيق ومزايا متقدمة-ميكس,311,3.4,888,خصم 64%,/egypt-ar/smart-watch-black-advanced-features-stylish-design-mix/Z6340EBDA9A1FECCF4AFDZ/p/?o=z6340ebda9a1feccf4afdz-1
جوي روم ساعة ذكية JR-FT3 يمكنها إجراء واستقبال المكالمات، شاشة عالية الدقة مقاس 1.96 بوصة، اتصال بلوتوث، مراقبة اللياقة البدنية، 340 مللي أمبير في الساعة، متوافقة مع أجهزة Apple وAndroid، حزام معدني من السيليكون,"1,200",4.2,"1,336",خصم 10%,/egypt-ar/340-mah-jr-ft3-smart-watch-can-make-and-receive-calls-1-96-inch-hd-screen-bluetooth-connection-fitness-monitoring-340mah-unisex-compatible-with-apple-and-android-metal-silicone-strap-silver/N70091659V/p/?o=bc117250500a84fa
"جوي روم 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc Rose Gold","1,599",4.3,"1,695",خصم 5%,/egypt-ar/350-mah-jr-fc1-pro-1-32-screen-classic-series-smart-watches-for-men-women-smartwatch-with-bluetooth-make-answer-calls-fitness-modes-and-sleep-modes-multi-app-message-reminder-and-languages-arabic-english-etc-rose-gold/N70142486V/p/?o=fda1a27dd98be7ad
إنفينيكس الساعة الذكية XW3E,"1,900",4.0,"2,103",خصم 9%,/egypt-ar/300-mah-infinix-xwatch-3-we-smart-watch-ip68-water-resistant-1-43-amoled-with-aod-7-day-battery-200-stylish-watch-faces-multiple-sports-modes-bluetooth-call-support-health-monitoring-fitness-tracking-2-straps-grey/N70090899V/p/?o=fa3d091e8f05b15f
"جوي روم 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc - Black/ Space Grey","1,399",5.0,"1,999",خصم 30%,/egypt-ar/350-mah-jr-fc1-pro-1-32-screen-classic-series-smart-watches-for-men-women-smartwatch-with-bluetooth-make-answer-calls-fitness-modes-and-sleep-modes-multi-app-message-reminder-and-languages-arabic-english-etc-black-space-grey/N70142485V/p/?o=a89044c365e361de
سيريز ساعة ذكية T1000 الترا   مراقب معدل ضربات القلب | مكالمات بلوتوث  مراقبة ضغط الدم متوافقة مع اندرويد وiOS  اسود,440,2.6,750,خصم 41%,/egypt-ar/t1000-ultra-smart-watch-heart-rate-monitor-bluetooth-calls-blood-pressure-monitor-compatible-with-android-and-ios-black/ZDBD19A620D2F5BF5D3F9Z/p/?o=zdbd19a620d2f5bf5d3f9z-1
